nome;valor
Aclimação;R$ 15,00
Alto Umuarama;R$ 12,00
Alvorada;R$ 15,00
Bem Viver Sul;R$ 15,00
Bom Jesus;R$ 10,00
Brasil;R$ 10,00
Carajás;R$ 10,00
Cazeca;R$ 10,00
Centro;R$ 10,00
Chacarás Bonanza;R$ 25,00
Chacarás Rancho Alegre;R$ 15,00
Chacaras Tubalina;R$ 7,00
Cidade Jardim;R$ 10,00
Colina do Sul;R$ 15,00
Copacabana;R$ 10,00
Custódio Pereira;R$ 12,00
Daniel Fonseca;R$ 7,00
Dom Almir;R$ 15,00
Dona Zulmira;R$ 5,00
Douradinho;R$ 25,00
Ecopark;R$ 15,00
Escolha;R$ 0,00
Fruta do Conde;R$ 7,00
Fundinho;R$ 10,00
Gávea;R$ 12,00
Gramado;R$ 10,00
Granada;R$ 15,00
Grand Ville;R$ 15,00
Granja Marileusa;R$ 12,00
Guarani;R$ 5,00
Industrial;R$ 10,00
Integração;R$ 15,00
Jaraguá;R$ 10,00
Jardim América;R$ 10,00
Jardim Brasilia;R$ 7,00
Jardim Canaã;R$ 12,00
Jardim Célia;R$ 12,00
Jardim das Palmeiras;R$ 10,00
Jardim Europa;R$ 7,00
Jardim Holanda;R$ 12,00
Jardim Incofidencia;R$ 12,00
Jardim Ipanema;R$ 15,00
Jardim Karaiba;R$ 12,00
Jardim Maanaim;R$ 12,00
Jardim Patricia;R$ 5,00
Jardim Sucupira;R$ 15,00
Jardim Sul;R$ 15,00
Jardins Mansour;R$ 7,00
Jequitiba;R$ 7,00
Jockey Caping;R$ 20,00
Lago Azul;R$ 12,00
Lagoinha;R$ 12,00
Laranjeiras;R$ 15,00
Lidice;R$ 10,00
Luizote;R$ 5,00
Luizote IV;R$ 7,00
Mansour;R$ 7,00
Mansour III;R$ 7,00
Maravilha;R$ 10,00
Marta Helena;R$ 12,00
Martins;R$ 10,00
Minas Gerais;R$ 12,00
Monte Hebron;R$ 12,00
Morada da Colina;R$ 12,00
Morada do Sol;R$ 5,00
Morada dos Passaros;R$ 20,00
Morada Nova;R$ 12,00
Morumbi;R$ 15,00
Nossa Senhora Aparecida;R$ 10,00
Nossa Senhora das Graças;R$ 12,00
Nosso Lar;R$ 5,00
Nova Uberlândia;R$ 12,00
Novo Mundo;R$ 15,00
Osvaldo Resende;R$ 7,00
Pacaembu;R$ 10,00
Pampulha;R$ 15,00
Panorama;R$ 12,00
Parque Santo Antônio;R$ 10,00
Patrimonio;R$ 10,00
Pequis;R$ 12,00
Planalto;R$ 7,00
Portal do Vale;R$ 15,00
Roosevelt;R$ 7,00
Santa Luzia;R$ 15,00
Santa Monica;R$ 12,00
Santa Rosa;R$ 10,00
Santo Inacio;R$ 10,00
São Jorge;R$ 15,00
São José;R$ 7,00
São Lucas;R$ 10,00
Saraiva;R$ 10,00
Segismundo Pereira;R$ 15,00
Shopping Park;R$ 15,00
Sitio Beira Rio;R$ 20,00
Sitio Oliveira;R$ 25,00
Sitio Parque das Américas;R$ 25,00
Sitio Parque das Andorinhas;R$ 25,00
Tabajaras;R$ 10,00
Taiaman;R$ 5,00
Talismã;R$ 5,00
Terra Nova;R$ 15,00
Tibery;R$ 12,00
Tocantins;R$ 5,00
Tubalina;R$ 10,00
Umuarama;R$ 12,00
Vigilato Pereira;R$ 10,00
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
